frequency,fold,source_wav_id,y_true,training_min,training_max,outside_training_label_range
maxfreq=22kHz,1,index=11.3.69E+05,368978.105,0.0003280469999999,859343.9142,False
maxfreq=22kHz,1,index=14.5.54E+05,554196.3218,0.0003280469999999,859343.9142,False
maxfreq=22kHz,1,index=17.7.77E+05,776647.2223,0.0003280469999999,859343.9142,False
maxfreq=22kHz,1,index=3.2.10E+04,20979.71604,0.0003280469999999,859343.9142,False
maxfreq=22kHz,1,index=6.1.44E+05,144324.2618,0.0003280469999999,859343.9142,False
maxfreq=22kHz,1,index=9.2.67E+05,266907.6965,0.0003280469999999,859343.9142,False
maxfreq=22kHz,2,index=12.4.27E+05,427276.195,0.0003280469999999,776647.2223,False
maxfreq=22kHz,2,index=15.6.24E+05,624442.5514,0.0003280469999999,776647.2223,False
maxfreq=22kHz,2,index=18.8.59E+05,859343.9142,0.0003280469999999,776647.2223,True
maxfreq=22kHz,2,index=4.5.76E+04,57593.31665,0.0003280469999999,776647.2223,False
maxfreq=22kHz,2,index=7.1.81E+05,181378.003,0.0003280469999999,776647.2223,False
maxfreq=22kHz,2,index=8.2.22E+05,221505.1102,0.0003280469999999,776647.2223,False
maxfreq=22kHz,3,index=1.3.28E-04,0.0003280469999999,20979.71604,859343.9142,True
maxfreq=22kHz,3,index=10.3.15E+05,315466.1173,20979.71604,859343.9142,False
maxfreq=22kHz,3,index=13.4.89E+05,489453.9981,20979.71604,859343.9142,False
maxfreq=22kHz,3,index=16.6.98E+05,698421.296,20979.71604,859343.9142,False
maxfreq=22kHz,3,index=2.2.36E+03,2355.33535,20979.71604,859343.9142,True
maxfreq=22kHz,3,index=5.1.11E+05,111264.7017,20979.71604,859343.9142,False
maxfreq=3kHz,1,index=11.3.69E+05,368978.105,0.0003280469999999,859343.9142,False
maxfreq=3kHz,1,index=14.5.54E+05,554196.3218,0.0003280469999999,859343.9142,False
maxfreq=3kHz,1,index=17.7.77E+05,776647.2223,0.0003280469999999,859343.9142,False
maxfreq=3kHz,1,index=3.2.10E+04,20979.71604,0.0003280469999999,859343.9142,False
maxfreq=3kHz,1,index=6.1.44E+05,144324.2618,0.0003280469999999,859343.9142,False
maxfreq=3kHz,1,index=9.2.67E+05,266907.6965,0.0003280469999999,859343.9142,False
maxfreq=3kHz,2,index=12.4.27E+05,427276.195,0.0003280469999999,776647.2223,False
maxfreq=3kHz,2,index=15.6.24E+05,624442.5514,0.0003280469999999,776647.2223,False
maxfreq=3kHz,2,index=18.8.59E+05,859343.9142,0.0003280469999999,776647.2223,True
maxfreq=3kHz,2,index=4.5.76E+04,57593.31665,0.0003280469999999,776647.2223,False
maxfreq=3kHz,2,index=7.1.81E+05,181378.003,0.0003280469999999,776647.2223,False
maxfreq=3kHz,2,index=8.2.22E+05,221505.1102,0.0003280469999999,776647.2223,False
maxfreq=3kHz,3,index=1.3.28E-04,0.0003280469999999,20979.71604,859343.9142,True
maxfreq=3kHz,3,index=10.3.15E+05,315466.1173,20979.71604,859343.9142,False
maxfreq=3kHz,3,index=13.4.89E+05,489453.9981,20979.71604,859343.9142,False
maxfreq=3kHz,3,index=16.6.98E+05,698421.296,20979.71604,859343.9142,False
maxfreq=3kHz,3,index=2.2.36E+03,2355.33535,20979.71604,859343.9142,True
maxfreq=3kHz,3,index=5.1.11E+05,111264.7017,20979.71604,859343.9142,False
