path,format,role,bytes,sha256,status,text_characters,pages_or_xml_parts,title
AGENTS.md,.md,current_or_index,7018,19be01518333df55308d497754441a36bb426f67e94c55a237d79450f724fd1e,extracted,3163,0,# Codex向け研究コンテキスト
README.md,.md,current_or_index,2980,bdb15863b22677be425c5ef581bffbfe8cf43ca7dd24ed99ebdf889ba14a0bc4,extracted,1583,0,# 研究ワークスペース
code/README.md,.md,current_or_index,1691,83b083f99a232a9b233210f5f568107d47a18f05a7d5da22ccc25071a4157150,extracted,993,0,# code フォルダの見方
code/trush_box/README.md,.md,current_or_index,716,759c7b036a65ae3b2e3d4d3500df3a5ec27e3551d7bf1c9645418d6378109e43,extracted,314,0,# trush_box の扱い
configs/README.md,.md,current_or_index,1723,078379326e4dde768710e811d31468f909e0e5b480a701ec95c874371ecff593,extracted,845,0,# configs
docs/analysis_workflow.md,.md,current_or_index,6547,716800f077a362455197f84494ad67853fbe59020489a1aead9afb9791ec6269,extracted,2735,0,# 結果を研究上の判断へつなげる手順
docs/audits/2026-09-15_workspace_review/README.md,.md,current_or_index,6506,45ee953308e399082c252d0a6c47dd4dd365549c4f1951a49a041dc9a20671c8,extracted,3102,0,# 研究ワークスペースの整理・更新記録
docs/code_map.md,.md,current_or_index,6809,3cb0f7fc378932530ff5247052aa01451b0f77d78cc34e35b0c863eb4d8fa2ae,extracted,4534,0,# コード地図
docs/data_inventory.md,.md,current_or_index,5472,6761213d8b0b18ee0f78d560297389e38d1021c47125ab4ca13d6f3a1aca2e16,extracted,3187,0,# データ索引
docs/document_index.md,.md,current_or_index,8063,145aecacb9a12ebb790f966dce9449d05bd7d262716361276e2628315a46e21d,extracted,4135,0,# 文書案内と更新ルール
docs/experiment_result_naming.md,.md,current_or_index,2862,c26065f798dc17c6fb12921dbda5eaf0497cfefb5162e5e0544811e734692d3d,extracted,1740,0,# 結果の保存階層と識別
docs/naming_rules.md,.md,current_or_index,1790,0e88e1782683af97f9f33f32ad8700a33b24548de7c74e9503642aba06e68292,extracted,1090,0,# ファイル名・フォルダ名のゆるいルール
docs/notes/data_notes.md,.md,current_or_index,1856,0fdd9d5724c54a701022d048c93adfaa51a57c328a65e740cdd785168962dc42,extracted,937,0,# データの読み方
